AQW00061705         252C
USC00147397         524C
USC00147534         482R
USC00147542         594S
USC00147551         616R
USC00147796         579S
USC00147922         776S
USC00148038         681S
USC00148061         424Q
USC00148191         405R
USC00148235         572S
USC00148240         610R
USC00148250         237S
USC00148259         389C
USC00148287         653S
USC00148495         603C
USC00148535         635Q
USC00148563         377R
USC00148578         442S
USC00148648         661R
USC00148670         624S
USC00148914         724R
USC00148946         568S
USC00148964         466S
USC00148988         491R
USC00149080         328S
USC00150254         132S
USC00150381         216S
USC00150397         220R
USC00150402         454S
USC00150422         653S
USC00150450         141S
USC00150483         176Q
USC00150490         267R
USC00150619         237R
USC00150630         347S
USC00150858         232Q
USC00150860         171Q
USC00150940         312S
USC00150955         223R
USC00151080         240Q
USC00151227         301Q
USC00151318         233Q
USC00151345         225R
USC00151517         172Q
USC00151810         225Q
USC00151890         218R
USC00151895         148Q
USC00151900         304R
USC00151998         267R
USC00152040         161S
USC00152214         148R
USC00152409         170R
USC00152442         403Q
USC00152512         156R
USC00152575         299Q
USC00152775         210R
USC00152791         328S
USC00153028         253R
USC00153223         681R
USC00153230         183Q
USC00153246         536R
USC00153295         465R
USC00153382         102R
USC00153389         208R
USC00153391         241R
USC00153430         354S
USC00153604         294R
USC00153741         260R
USC00153744         147Q
USC00153762         234S
USC00153929         203S
USC00153994         480R
USC00154138         162Q
USC00154208         216R
USC00154375         399Q
USC00154703         208S
USC00154958         241Q
USC00154967         480R
USC00155067         506S
USC00155097         370R
USC00155111         192R
USC00155165         259Q
USC00155233         399R
USC00155243         243R
USC00155280         159Q
USC00155389         246R
USC00155524         199S
USC00155640         182R
USC00155648         144S
USC00155694         386R
USC00155834         561S
USC00156012          60Q
USC00156028         207Q
USC00156091         664R
USC00156117         646R
USC00156136         213S
USC00156224         134Q
USC00156580         465S
USC00156595         498R
USC00156882         433R
USC00156988         418S
USC00157049         388R
USC00157215         238S
USC00157324         325R
USC00157510         131S
USC00157592         294Q
USC00157652          95Q
USC00157677         148S
USC00157800         353S
USC00158432          87Q
USC00158446         198S
USC00158551         126S
USC00158553          94Q
USC00158555         318Q
USC00158709         120R
USC00158714         206R
USC00158824         205Q
USC00160098         851S
USC00160103         748R
USC00160205         881S
USC00160349         772S
USC00160537         734S
USC00160718         729Q
USC00160800         741S
USC00160945         797R
USC00161232         649S
USC00161246         780R
USC00161287         824S
USC00161292         317R
USC00161411         709S
USC00161565         678S
USC00161899         569S
USC00161941         889Q
USC00161979         774R
USC00162151         578R
USC00162212         722S
USC00162361         763R
USC00162367         807S
USC00162534         708C
USC00162800         839R
USC00162981        1066R
USC00163079         655R
USC00163313         398S
USC00163327         941R
USC00163433         436S
USC00163800         777S
USC00163979         659R
USC00164030         799S
USC00164288         762Q
USC00164355         679S
USC00164407         765R
USC00164674         712C
USC00164696         758R
USC00164700         802C
USC00164739         795R
USC00165021         731R
USC00165065         840R
USC00165090         721C
USC00165146         675Q
USC00165266         826R
USC00165296         520R
USC00165527         771R
USC00165620         835S
USC00165624         465R
USC00165630         827C
USC00165874         726R
USC00165892         754S
USC00165926         655R
USC00166244         767S
USC00166314         870S
USC00166364         767Q
USC00166394         495S
USC00166434         730Q
USC00166582         940S
USC00166584         930Q
USC00166657         898R
USC00166686         904S
USC00166938         717R
USC00166978         798R
USC00167344         881R
USC00167691         694R
USC00167738         904S
USC00167767         707S
USC00167924         804Q
USC00167932         305S
USC00168046         673S
USC00168067         659S
USC00168108         572R
USC00168163         883S
USC00168181         606Q
USC00168444         823Q
USC00168448         769Q
USC00168539         636S
USC00168543         637R
USC00168923         733S
USC00168941         792R
USC00169013         693R
USC00169074         710Q
USC00169803         808R
USC00169804         935Q
USC00169806         851S
USC00170100          24S
USC00170200          22R
USC00170398          22R
USC00170480           9S
USC00170655          13Q
USC00170814           4S
USC00170833          17S
USC00170844          15S
USC00171472           8R
USC00171628          32S
USC00171833          19R
USC00171975          29S
USC00172048          22R
USC00172238          29S
USC00172426           7R
USC00172620          17R
USC00172623          20Q
USC00172700          12R
USC00172765          27C
USC00172878          10S
USC00173046          33S
USC00173261          34S
USC00173295          38R
USC00173353           2Q
USC00173417          19Q
USC00173570           7R
USC00173862          57R
USC00173944          16R
USC00174086           7C
USC00174183          13R
USC00174193          21R
USC00174566          39R
USC00174683          28Q
USC00174781           4S
USC00174927          26S
USC00175261           7S
USC00175304          31S
USC00175347          38Q
USC00175675          14S
USC00176430          78R
USC00176594          11R
USC00176721          10R
USC00176856          31Q
USC00176875          16Q
USC00176881           0R
USC00176937          19S
USC00177037           5C
USC00177039           2R
USC00177174           8R
USC00177238          18R
USC00177325          43S
USC00177479          76S
USC00177654          37R
USC00178353          18R
USC00178792          13Q
USC00178817          26Q
USC00178965          14S
USC00178974          39R
USC00179151          30S
USC00179294          15R
USC00179314          52S
USC00179547           6Q
USC00179593          13S
USC00179891          67S
USC00180193         371R
USC00180335         143R
USC00180700         276S
USC00180732         369R
USC00181385         350R
USC00181530          61S
USC00181750         214S
USC00181862         293R
USC00181995         386R
USC00182060         389R
USC00182282         345S
USC00182308         123Q
USC00182325         319S
USC00182335         154R
USC00182336         109R
USC00182906         112S
USC00183348         328R
USC00183353         240Q
USC00183415          11S
USC00183675         247R
USC00184030         189R
USC00185080         116R
USC00185111         318R
USC00185832          12R
USC00185865         166S
USC00185934          77R
USC00185985         269R
USC00186350         434S
USC00186620           6S
USC00186770         229R
USC00186800         314Q
USC00187330         366R
USC00187705         157R
USC00187806         248S
USC00188000         223S
USC00188065          53S
USC00188207         228R
USC00188371         188Q
USC00188380         311C
USC00188405         327Q
USC00188557         100Q
USC00189030         211R
USC00189070         281R
USC00189140         403S
USC00189440         240R
USC00189570         199Q
USC00189750         267R
USC00190120          59S
USC00190190          20Q
USC00190192          14Q
USC00190213           5Q
USC00190408          24R
USC00190535          74R
USC00190562          22Q
USC00190593          28R
USC00190666          59R
USC00190759          11R
USC00190840          44Q
USC00190860          76S
USC00190998          53R
USC00191386       -7777S
USC00191774           0R
USC00191821          42Q
USC00192107          37S
USC00192451          26S
USC00192501          17S
USC00193213          69R
USC00193229          38Q
USC00193276         107R
USC00193505         103S
USC00193624          89S
USC00193821          12R
USC00193890         134R
USC00193985          50R
USC00194075           8R
USC00194105         107S
USC00194131          54R
USC00194313         154R
USC00194502          61R
USC00194580         142S
USC00194711          49Q
USC00194744          94S
USC00195175          68Q
USC00195246          78R
USC00195984          97S
USC00196245          64R
USC00196486         102S
USC00196783          81S
USC00196938          88S
USC00197230           4Q
USC00197627          38R
USC00198367          86R
USC00198573         110R
USC00198757          98S
USC00199193          48Q
USC00199316         138R
USC00199371           6Q
USC00199972           9R
USC00200032          64S
USC00200089          21R
USC00200106          95Q
USC00200128          52R
USC00200146          76C
USC00200166          26R
USC00200197          17Q
USC00200220          23Q
USC00200228          64Q
USC00200230          86S
USC00200342          47Q
USC00200343          37R
USC00200361          48Q
USC00200417          50S
USC00200446          79R
USC00200718          21S
USC00200758          14Q
USC00200770          48R
USC00200779          48S
USC00200842          70Q
USC00200864         105S
USC00200925         106C
USC00201052          55Q
USC00201150          51Q
USC00201238          61Q
USC00201250          37Q
USC00201299          71R
USC00201343          33Q
USC00201361          39R
USC00201435          26Q
USC00201439           8R
USC00201468          15R
USC00201476          55S
USC00201486          38R
USC00201492          25R
USC00201502          39Q
USC00201675          45S
USC00201780          12R
USC00201802          41R
USC00201818          68Q
USC00201896           3S
USC00202015         135S
USC00202016          98Q
USC00202094           8S
USC00202250          63S
USC00202308          82Q
USC00202328          56Q
USC00202381          76C
USC00202395          75R
USC00202423          46S
USC00202427          85Q
USC00202445         144S
USC00202503           3Q
USC00202631          95S
USC00202691          47Q
USC00202737           1R
USC00202788          65Q
USC00202804          26R
USC00202851          45Q
USC00202955          28Q
USC00202984           4S
USC00203025           0Q
USC00203096          21S
USC00203099           8R
USC00203188           6Q
USC00203278          53Q
USC00203290           8R
USC00203295           4Q
USC00203391          44S
USC00203429          96C
USC00203477          67S
USC00203504         151R
USC00203529          32S
USC00203585          24S
USC00203628          21R
USC00203632          19R
USC00203661          61S
USC00203712          54Q
USC00203744          10S
USC00203769          42R
USC00203823          68R
USC00203858          95S
USC00203913          93Q
USC00203930          34R
USC00203932          75R
USC00203947          78Q
USC00204078          62S
USC00204090          58S
USC00204104          11S
USC00204130          18Q
USC00204257          22R
USC00204258          26Q
USC00204399          31Q
USC00204502          30C
USC00204655          52S
USC00204659          41Q
USC00204793          34Q
USC00204808          33Q
USC00204954          20S
USC00204967          66R
USC00205050          65Q
USC00205065          31S
USC00205073           4S
USC00205097          55R
USC00205168          31Q
USC00205434          73S
USC00205450          90R
USC00205451          80Q
USC00205452          48S
USC00205531          72R
USC00205533          20Q
USC00205558         116R
USC00205563          94Q
USC00205567          12S
USC00205591           3Q
USC00205603          93Q
USC00205662          83R
USC00205690          15S
USC00205810           0Q
USC00205816           8R
USC00205822          46Q
USC00206007           3Q
USC00206012          24R
USC00206158          46R
USC00206184          75S
USC00206220          48S
USC00206300          63S
USC00206442          18Q
USC00206507          12S
USC00206510          10Q
USC00206583          18Q
USC00206587          68Q
USC00206658          59R
USC00206662          26Q
USC00206663          23R
USC00206680          60S
USC00206982          51Q
USC00207094          57S
USC00207190          27S
USC00207222          59Q
USC00207225          25Q
USC00207253          66R
USC00207274           2S
USC00207277           4R
USC00207280          82S
USC00207308          84Q
USC00207312          71Q
USC00207320          70Q
USC00207350          39R
USC00207364          17R
USC00207515          49R
USC00207684          60Q
USC00207690          18S
USC00207812          14S
USC00207820          56S
USC00207867          68R
USC00208043          12R
USC00208080         108Q
USC00208184         109S
USC00208202          62Q
USC00208249          38Q
USC00208293           6R
USC00208345           0Q
USC00208417          67S
USC00208443          42Q
USC00208680          32R
USC00208706           3Q
USC00208774          54Q
USC00208800          34S
USC00208920           2S
USC00208941          31R
USC00208972          21Q
USC00209188          39Q
USC00210018          85S
USC00210050          65R
USC00210059          25R
USC00210075          85S
USC00210157         156R
USC00210190          67Q
USC00210252          80C
USC00210287          65S
USC00210355          44S
USC00210387          24R
USC00210515          62R
USC00210564           7Q
USC00210643          26R
USC00210667         123S
USC00210746          66R
USC00210809          20R
USC00210939          54S
USC00210973         106Q
USC00210989          17R
USC00211063         160S
USC00211065          58Q
USC00211074          31R
USC00211107          65R
USC00211174          75R
USC00211198          49S
USC00211227          58R
USC00211245         111R
USC00211250          38Q
USC00211263         136S
USC00211374          41S
USC00211390          48R
USC00211448          66R
USC00211465         160R
USC00211468          72Q
USC00211630          40S
USC00211691          91S
USC00211771          28Q
USC00211776          22R
USC00211840          15R
USC00211891          72S
USC00212015          58Q
USC00212023          58Q
USC00212050          54R
USC00212088          69R
USC00212142          88R
USC00212246          13R
USC00212500          70Q
USC00212543          53R
USC00212555          38Q
USC00212576           8R
USC00212645          15R
USC00212698         101S
USC00212721          84S
USC00212737          63S
USC00212768          71R
USC00212842          12R
USC00212881          98S
USC00212916          42S
USC00213076          90S
USC00213104         114S
USC00213174         101S
USC00213282           4S
USC00213290          43S
USC00213296           8R
USC00213303          46C
USC00213311         108Q
USC00213411          30S
USC00213417          16R
USC00213455          76R
USC00213567          64R
USC00213793          42R
USC00213962         110S
USC00214103          22S
USC00214106          35S
USC00214176          50S
USC00214191          17Q
USC00214306          18R
USC00214373          10Q
USC00214453          57R
USC00214534          81S
USC00214546         133S
USC00214652          34S
USC00214778          63S
USC00214793         111S
USC00214809          22R
USC00214861          47S
USC00214884         171R
USC00214918           3R
USC00214937         135R
USC00214994         139S
USC00215012          61R
USC00215073         112R
USC00215175          10R
USC00215204         144S
USC00215325          64R
USC00215392          50S
USC00215400         170S
USC00215563         112S
USC00215586          99R
USC00215598          37S
USC00215615          55R
USC00215638          80S
USC00215838          79R
USC00215842          99S
USC00215887          93S
USC00215902          41Q
USC00215989           5Q
USC00216148          48R
USC00216152         106S
USC00216211           3Q
USC00216228         112Q
USC00216276          56R
USC00216287          85S
USC00216547          44S
USC00216565         114S
USC00216612          30Q
USC00216654          70S
USC00216787          53S
USC00216795          55R
USC00216822          96R
USC00216839          25Q
USC00216920          60Q
USC00217087          28R
USC00217107          65S
USC00217149          65R
USC00217184          83R
USC00217326         102S
USC00217377          79R
USC00217379          53Q
USC00217405         129S
USC00217460          33Q
USC00217502         101S
USC00217907         121S
USC00217935          72Q
USC00218025         107R
USC00218037         178R
USC00218039          34Q
USC00218191          19R
USC00218227         105R
USC00218247          63R
USC00218254          38R
USC00218307          30Q
USC00218311          31S
USC00218323         115S
USC00218419          10S
USC00218421          11R
USC00218429          99R
USC00218450         101R
USC00218477         137R
USC00218579          30S
USC00218618          29S
USC00218621           4Q
USC00218679          29S
USC00218692         100S
USC00218700          29R
USC00218808          87R
USC00218907          98S
USC00218947          91Q
USC00218986          80R
USC00219004          89S
USC00219033         196S
USC00219046         110S
USC00219067         132S
USC00219072          70R
USC00219101          34R
USC00219134          16R
USC00219170          97S
USC00219173          19S
USC00219249          52S
USC00220021         591S
USC00220488         559S
USC00220521         377S
USC00220585        1004R
USC00220660         693S
USC00220792         463R
USC00220955         372R
USC00221094         658S
USC00221111         696Q
USC00221314         494S
USC00221389         752R
USC00221489         732S
USC00221606         588R
USC00221707         591S
USC00221738         742R
USC00221743         705R
USC00221852         508S
USC00221865         820R
USC00221880         784R
USC00221962         500S
USC00222094         838R
USC00222282         555Q
USC00222385         646S
USC00222896         544S
USC00223107         627S
USC00223208         440S
USC00223605         679R
USC00223645         477S
USC00223671         408R
USC00223887         647S
USC00223920         689S
USC00223975         916R
USC00224001         513S
USC00224173         564S
USC00224265         444R
USC00224377         439R
USC00224455         364S
USC00224702         588R
USC00224776         467R
USC00224869         761Q
USC00224939         693S
USC00225062         510R
USC00225070         802R
USC00225247         522R
USC00225361         665R
USC00225704         728R
USC00225789         910R
USC00225897         719R
USC00225987         955R
USC00226009         633S
USC00226177         628S
USC00226308         718S
USC00226476         932R
USC00226527         565R
USC00226638         669Q
USC00226718         315R
USC00226811         806R
USC00226894         792S
USC00226921         730R
USC00226926         489R
USC00227111         405S
USC00227128         636S
USC00227132         651S
USC00227252         643R
USC00227276         544Q
USC00227444         527R
USC00227467         443R
USC00227560         840C
USC00227815         854Q
USC00227831         712Q
USC00227840         917S
USC00227921         592Q
USC00228374         638S
USC00228445         747S
USC00228998         650S
USC00229004         510Q
USC00229048         796R
USC00229079         619S
USC00229173         677R
USC00229216         700R
USC00229230         647Q
USC00229400         590S
USC00229426         426S
USC00229439         602R
USC00229639         745R
USC00229743         409S
USC00229793         794R
USC00229860         663S
USC00230051         297Q
USC00230127         421R
USC00230143         234S
USC00230163         310Q
USC00230164         293S
USC00230204         315S
USC00230224         273R
USC00230304         413Q
USC00230360         307Q
USC00230368         287Q
USC00230608         208S
USC00230657         435R
USC00230789         367S
USC00230817         404S
USC00230856         225R
USC00230980         219S
USC00231037         183S
USC00231087         236R
USC00231101         288R
USC00231145         346S
USC00231189         265S
USC00231212         372R
USC00231275         212S
USC00231340         357S
USC00231356         480R
USC00231364         459S
USC00231383         244R
USC00231540         486R
USC00231580         352S
USC00231600         295Q
USC00231640         315R
USC00231674         488R
USC00231711         365S
USC00231748         280Q
USC00231801         379R
USC00231822         202S
USC00232240         414R
USC00232289         471S
USC00232302         317S
USC00232503         378S
USC00232511         365R
USC00232568         288R
USC00232591         389S
USC00232619         548Q
USC00232809         260S
USC00232850         314R
USC00232981         231Q
USC00233038         343S
USC00233043         286S
USC00233079         255S
USC00233094         380R
USC00233102         206R
USC00233162         348Q
USC00233369         177R
USC00233416         179Q
USC00233451         335R
USC00233483         286R
USC00233568         222S
USC00233601         205S
USC00233838         221R
USC00234019         324R
USC00234154         311R
USC00234226         455S
USC00234271         339S
USC00234382         308Q
USC00234417         632S
USC00234544         165S
USC00234694         329S
USC00234705         431S
USC00234825         297S
USC00234850         267S
USC00234904         346S
USC00234919         296S
USC00234982         209Q
USC00235027         332S
USC00235050         271R
USC00235207         505R
USC00235227         275S
USC00235253         326S
USC00235307         267C
USC00235340         267S
USC00235492         199R
USC00235541         324R
USC00235671         239S
USC00235704         296S
USC00235708         360Q
USC00235834         241S
USC00235862         365S
USC00235950         321Q
USC00235976         336S
USC00235987         443S
USC00236012         273S
USC00236045         504S
USC00236302         196R
USC00236357         253R
USC00236402         477S
USC00236460         371S
USC00236641         363S
USC00236745         315R
USC00236777         368R
USC00236791         481S
USC00236804         442S
USC00236826         188R
USC00236866         259R
USC00237116         278Q
USC00237263         351S
USC00237300         278R
USC00237309         403Q
USC00237397         285S
USC00237398         358S
USC00237452         395R
USC00237475         380R
USC00237506         409S
USC00237514         315S
USC00237578         327S
USC00237632         268S
USC00237645         268R
USC00237656         450Q
USC00237720         191R
USC00237772         604R
USC00237862         268R
USC00237963         210S
USC00238043         351R
USC00238051         284S
USC00238082         341S
USC00238184         277R
USC00238223         312S
USC00238444         307R
USC00238466         378R
USC00238515         467S
USC00238523         207R
USC00238571         487R
USC00238577         222R
USC00238583         350Q
USC00238603         228S
USC00238620         558S
USC00238664         417Q
USC00238700         612R
USC00238712         345R
USC00238725         265R
USC00238754         278R
USC00238777         215S
USC00238805         267R
USC00238880         370S
USC00238995         304R
USC00239032         300R
USC00239178         367Q
USC00240075         234Q
USC00240088         335R
USC00240110          31S
USC00240199          71S
USC00240364         131R
USC00240375          32S
USC00240392          44R
USC00240412         251Q
USC00240432         311R
USC00240466         127R
USC00240554         137Q
USC00240743         355S
USC00240755          30S
USC00240770         244R
USC00240775          16R
USC00240780         244S
USC00240801         302R
USC00240802         405S
USC00240819         494R
USC00240877          71R
USC00240923         207R
USC00241008          90C
USC00241044         122S
USC00241047         106S
USC00241050           5R
USC00241084         434S
USC00241088         193S
USC00241102         274R
USC00241127         376S
USC00241169         293S
USC00241262          83Q
USC00241297         357S
USC00241470         112R
USC00241500         272R
USC00241518         153S
USC00241525         255S
USC00241552         213C
USC00241557          85S
USC00241692         144S
USC00241722         215S
USC00241730          65Q
USC00241737          83S
USC00241758         304S
USC00241875         285C
USC00241905         217S
USC00241938         276S
USC00241974          68R
USC00241984         270S
USC00241995           1S
USC00242104          63S
USC00242122         296C
USC00242221         154R
USC00242275          64R
USC00242301          25R
USC00242347         150S
USC00242409          77S
USC00242421          64S
USC00242550         115Q
USC00242629          17R
USC00242689         176S
USC00242738          92Q
USC00242793          95S
USC00242827         255S
USC00242857          66S
USC00243013         323S
USC00243089         252R
USC00243098         349S
USC00243110         286S
USC00243113         249S
USC00243139         149R
USC00243176         369S
USC00243378         212R
USC00243437           0Q
USC00243445         273R
USC00243489          31S
USC00243530         207S
USC00243557         291R
USC00243570         171R
USC00243581         362S
USC00243617          97S
USC00243727         158S
USC00243749         161Q
USC00243753         124R
USC00243885         185R
USC00243915         504S
USC00243929         289S
USC00243934         209Q
USC00243939         133R
USC00243984          99R
USC00244007         350R
USC00244038          13S
USC00244084          97S
USC00244180         224R
USC00244193          96Q
USC00244241         245S
USC00244297         225R
USC00244328         136S
USC00244345         319S
USC00244358         289S
USC00244364         379S
USC00244368         243R
USC00244386         327S
USC00244447           3R
USC00244506         253S
USC00244512         141S
USC00244522         318R
USC00244530         323R
USC00244545          35S
USC00244558         111S
USC00244560          89Q
USC00244820           7R
USC00244839         417R
USC00244896          10Q
USC00244954          22S
USC00245000         145R
USC00245011         194R
USC00245015         357S
USC00245020          48S
USC00245030          29S
USC00245040          94R
USC00245043          23S
USC00245080          82S
USC00245123         147Q
USC00245153         304C
USC00245285         129R
USC00245334         262R
USC00245338         260S
USC00245340         333S
USC00245387          97S
USC00245572         194S
USC00245596         394S
USC00245603          10S
USC00245668         301S
USC00245712          42R
USC00245735         171S
USC00245740         172Q
USC00245754         453S
USC00245761         113C
USC00245870         397S
USC00245872         313R
USC00245961           2S
USC00245983         327R
USC00246007          59Q
USC00246008          96R
USC00246157         252S
USC00246190         151S
USC00246218          74S
USC00246236         140S
USC00246238         128S
USC00246304          86S
USC00246370         145Q
USC00246472          49S
USC00246580          79Q
USC00246586         243R
USC00246601         286S
USC00246615          70R
USC00246618          84Q
USC00246635          97S
USC00246640         164S
USC00246647         258R
USC00246655          21R
USC00246672         173R
USC00246685         143S
USC00246691         430S
USC00246862         291S
USC00246893         163S
USC00246902         111C
USC00246918          44R
USC00246927         192R
USC00247034         215S
USC00247136         251S
USC00247159          88R
USC00247204         114Q
USC00247214         402S
USC00247220         320Q
USC00247228         265R
USC00247234         413R
USC00247247         153Q
USC00247248         208Q
USC00247250         176R
USC00247261         267Q
USC00247263         141S
USC00247265         200S
USC00247286         230S
USC00247292          55R
USC00247318         263R
USC00247342         179Q
USC00247382         335S
USC00247425         213R
USC00247448         156S
USC00247500         140R
USC00247540          76R
USC00247560         310S
USC00247620         287R
USC00247740         171S
USC00247864         101S
USC00247894         293S
USC00247964          69S
USC00247967          94Q
USC00247978           6Q
USC00247996          89R
USC00248021         161S
USC00248087          91R
USC00248093          99R
USC00248165         329S
USC00248169         164S
USC00248211         371S
USC00248233         231R
USC00248324         125S
USC00248363         275R
USC00248380         175S
USC00248390         293R
USC00248395         234R
USC00248415         176R
USC00248430         120S
USC00248498         268R
USC00248501          82S
USC00248569         272R
USC00248597          51C
USC00248777         118R
USC00248783         121R
USC00248809          50S
USC00248857          14R
USC00248858          30Q
USC00248902          81R
USC00248930          77R
USC00248957         254S
USC00249023          18C
USC00249033         193S
USC00249067          15S
USC00249082          13R
USC00249103         370R
USC00249175         313R
USC00249187          74Q
USC00249240         345S
USC00249900          66R
USC00250030         365S
USC00250050         255S
USC00250070         217R
USC00250130         360R
USC00250138         325Q
USC00250245         257C
USC00250355         262R
USC00250365         329S
USC00250375         408S
USC00250420         217S
USC00250435         383C
USC00250445         267S
USC00250525         276R
USC00250622         349R
USC00250640         525C
USC00250760         575S
USC00250865         415S
USC00250930         210R
USC00251130         342R
USC00251145         483S
USC00251149         456Q
USC00251189         431Q
USC00251200         205S
USC00251213         273R
USC00251345         191R
USC00251361         229Q
USC00251365         221C
USC00251415         433R
USC00251450         265S
USC00251560         306S
USC00251578         393Q
USC00251590         218S
USC00251602         371Q
USC00251660         220R
USC00251684         310S
USC00251825         301C
USC00251835         388R
USC00251973         301R
USC00251990         233S
USC00252000         376R
USC00252020         314S
USC00252037         194R
USC00252065         499S
USC00252100         404R
USC00252145         208S
USC00252205         224S
USC00252595         143R
USC00252647         221R
USC00252680         432S
USC00252741         466R
USC00252770         236R
USC00252790         320Q
USC00252805         254S
USC00252820         381S
USC00252840         302S
USC00252980         152Q
USC00253015         369Q
USC00253037         393R
USC00253050         260S
USC00253065         170Q
USC00253165         206R
USC00253175         287C
USC00253185         239C
USC00253355         321S
USC00253365         323S
USC00253425         266S
USC00253467         182Q
USC00253515         483R
USC00253595         401R
USC00253605         317S
USC00253615         197S
USC00253617         198Q
USC00253618         294Q
USC00253630         167S
USC00253652          95Q
USC00253660         308S
USC00253710         254R
USC00253715         332R
USC00253735         384S
USC00253755         264C
USC00253810         355R
USC00253910         299S
USC00254035         152R
USC00254100         164R
USC00254101         233Q
USC00254110         358S
USC00254335         276S
USC00254432         333R
USC00254440         216S
USC00254455         336S
USC00254755         294Q
USC00254900         433S
USC00254903         361R
USC00254985         283S
USC00255040         328R
USC00255080         199S
USC00255090         429S
USC00255250         277R
USC00255362         276S
USC00255388         478S
USC00255470         394R
USC00255565         309S
USC00255590         330R
USC00255655         316Q
USC00255700         380R
USC00255702         303R
USC00255810         257S
USC00255868         212R
USC00255925         232C
USC00255960         384R
USC00255997         147R
USC00256018         203R
USC00256040         211S
USC00256075         316S
USC00256135         185C
USC00256167         250S
USC00256200         441S
USC00256290         306C
USC00256375         209S
USC00256385         352S
USC00256395         234S
USC00256439         289R
USC00256454         404R
USC00256570         354S
USC00256765         277Q
USC00256970         291R
USC00257002         360R
USC00257040         176S
USC00257055         225Q
USC00257070         421S
USC00257110         421S
USC00257318         277R
USC00257401         246Q
USC00257415         243R
USC00257515         376S
USC00257667         397Q
USC00257715         277C
USC00257830         348R
USC00258088         144Q
USC00258090         305R
USC00258110         269R
USC00258117         154Q
USC00258133         338R
USC00258320         419C
USC00258328         367R
USC00258360         193R
USC00258395         378C
USC00258410         289Q
USC00258455         157Q
USC00258465         355S
USC00258480         198S
USC00258628         504S
USC00258650         265R
USC00258751         380R
USC00258755         327R
USC00258795         195R
USC00258875         245R
USC00258905         282R
USC00258915         241S
USC00258920         380S
USC00258935         232S
USC00259020         407Q
USC00259045         189R
USC00259090         204S
USC00259193         196Q
USC00259200         208S
USC00259510         432S
USC00259513         193Q
USC00260125        1466Q
USC00260150        1320S
USC00260438          57R
USC00260507         139R
USC00260718         983R
USC00260795         598R
USC00260800         220S
USC00260955         584S
USC00261071        1111R
USC00261327        1450R
USC00261358         761R
USC00261371        1594R
USC00261415         101R
USC00261485         361S
USC00261590         550Q
USC00261660         121Q
USC00261684         332Q
USC00261740         126R
USC00261905         355R
USC00262119           0R
USC00262189         208R
USC00262229         470S
USC00262243        1206S
USC00262296         252R
USC00262390         444R
USC00262394         329R
USC00262431         604R
USC00262497        1492R
USC00262557         995R
USC00262570         316R
USC00262656         258R
USC00262708          87S
USC00262780         562S
USC00263090         594R
USC00263114         129R
USC00263205           4S
USC00263245         667R
USC00263285         278R
USC00263316        1239Q
USC00263340          61R
USC00263512         712R
USC00263671         874R
USC00263957         526S
USC00263964          45Q
USC00264016         176R
USC00264039          86R
USC00264095          84R
USC00264236         517R
USC00264253         223Q
USC00264341         297R
USC00264349         724R
USC00264384         103R
USC00264391          55Q
USC00264394         155R
USC00264439        1308R
USC00264480        1703R
USC00264491         185Q
USC00264527         408S
USC00264698         585S
USC00264745         210S
USC00264935         384S
USC00264950         229S
USC00265087        1470Q
USC00265092         252R
USC00265132         489R
USC00265168         754S
USC00265191         555S
USC00265352         533S
USC00265371         116Q
USC00265392         140R
USC00265400           1R
USC00265705        1378R
USC00265722         194R
USC00265818         527S
USC00265846        1582R
USC00265880        1051R
USC00265890        1202S
USC00266005         527S
USC00266055         811R
USC00266130         432R
USC00266242         444R
USC00266252         272R
USC00266514         655Q
USC00266691         904S
USC00266746          70S
USC00266791         404R
USC00267123         139S
USC00267175          41R
USC00267188         420Q
USC00267192         709S
USC00267369         950S
USC00267450         182R
USC00267463         882S
USC00267612         479S
USC00267618         628R
USC00267620         333S
USC00267640          26R
USC00267690         397R
USC00267697         479R
USC00267750         252R
USC00267806           3R
USC00267820         287R
USC00267908         371R
USC00267953         231R
USC00268186         464Q
USC00268202         326R
USC00268346         103R
USC00268443         513R
USC00268588        1389S
USC00268761          80S
USC00268822         710S
USC00268838         594R
USC00268988         178R
USC00269072          64R
USC00269168         485R
USC00269229         630S
USC00270681           7S
USC00270690          23C
USC00270706          31R
USC00271647           7S
USC00271950           4R
USC00271968           1Q
USC00272174         106S
USC00272302          63Q
USC00272800          64S
USC00272999           3S
USC00273055          26Q
USC00273182          83R
USC00273530          27R
USC00273626          82C
USC00273658         117Q
USC00273850          74S
USC00274234         110R
USC00274399          83S
USC00274480          71S
USC00274556          19S
USC00275013          24Q
USC00275211          80R
USC00275412          73R
USC00275500          70R
USC00275629           7S
USC00275702          71R
USC00275712          94S
USC00275780          19Q
USC00275868          28R
USC00275995          47S
USC00276234          20R
USC00276818           2S
USC00276945          35R
USC00277833          45R
USC00278539          33Q
USC00278612          31R
USC00278614          40R
USC00278858          27Q
USC00278972          20R
USC00279278          58Q
USC00279966           6R
USC00280690         105R
USC00280734         138S
USC00280907         124R
USC00280990          91R
USC00281335         223S
USC00281351          97C
USC00281582          84S
USC00281592         169Q
USC00282023         192S
USC00282768         133R
USC00282805         234R
USC00283029         164S
USC00283181         164R
USC00283291         198R
USC00283662         220R
USC00283704         224Q
USC00283935          27R
USC00283951         187C
USC00284229         194S
